EmployeeID,Age,Experience (Years),Education,Training Status
E006,55,39.4,High School,High
E028,36,16.8,Master's Degree,High
E005,57,39.1,High School,High
E003,22,3.1,Diploma,Low
E046,31,10.5,Master's Degree,High
E018,46,26.1,Bachelor's Degree,High
E013,34,14.7,Master's Degree,High
E037,23,1.1,Diploma,Low
E036,57,32.6,Diploma,Medium
E022,52,32.3,Diploma,Medium
E043,23,0.0,Master's Degree,Low
E035,43,23.5,High School,High
E048,58,40.6,High School,Medium
E016,57,41.0,Diploma,Medium
E015,39,19.1,Diploma,Medium
E030,37,18.5,Diploma,High
E042,47,25.1,High School,Medium
E017,38,18.1,Diploma,High
E009,60,38.5,Bachelor's Degree,High
E002,47,24.3,Master's Degree,High
E033,54,33.9,Bachelor's Degree,Medium
E004,36,17.7,High School,Medium
E045,41,20.7,Diploma,High
E001,34,16.1,Diploma,High
E008,39,16.2,High School,High
E019,58,37.0,Bachelor's Degree,Medium
E040,25,6.3,Diploma,Low
E011,43,21.0,Diploma,High
E034,22,0.0,High School,Low
E014,54,31.4,Diploma,High
E044,37,16.3,High School,High
E029,48,27.6,Diploma,Medium
E041,60,37.0,Diploma,Medium
E031,41,22.2,Diploma,High
E012,60,39.0,High School,Medium
E038,36,13.7,Diploma,High
E050,38,16.8,Diploma,High
E032,30,11.1,Master's Degree,High
E026,57,33.3,Diploma,High
E039,22,1.7,Master's Degree,Medium
E047,54,31.6,High School,Medium
E025,48,26.8,Bachelor's Degree,High
E010,27,5.5,High School,Low
E021,30,11.0,Master's Degree,Medium
E023,49,28.2,High School,Medium
E007,35,13.8,High School,Medium
E024,51,32.4,Master's Degree,High
E020,27,2.2,Diploma,Medium
E027,60,41.7,Master's Degree,Medium
E049,54,34.6,High School,High
