MachineID,Make,Model,Date,Shift,Assigned (Yes/No)
M001,Singer,B2000,"October 01, 2023",Day,No
M002,Juki,B2000,"October 01, 2023",Day,No
M003,Singer,B2000,"October 01, 2023",Day,No
M004,Singer,J3000,"October 01, 2023",Day,No
M005,Brother,S1000,"October 01, 2023",Day,Yes
M006,Juki,J3000,"October 01, 2023",Day,No
M007,Singer,B2000,"October 01, 2023",Day,No
M008,Singer,B2000,"October 01, 2023",Day,No
M009,Singer,S1000,"October 01, 2023",Day,No
M010,Juki,J3000,"October 01, 2023",Day,Yes
M011,Brother,S1000,"October 01, 2023",Day,No
M012,Singer,B2000,"October 01, 2023",Day,No
M013,Singer,B2000,"October 01, 2023",Day,Yes
M014,Brother,J3000,"October 01, 2023",Day,No
M015,Singer,B2000,"October 01, 2023",Day,No
M016,Singer,J3000,"October 01, 2023",Day,No
M017,Singer,J3000,"October 01, 2023",Day,No
M018,Juki,S1000,"October 01, 2023",Day,No
M019,Singer,J3000,"October 01, 2023",Day,Yes
M020,Singer,S1000,"October 01, 2023",Day,No
M021,Singer,S1000,"October 01, 2023",Day,No
M022,Juki,S1000,"October 01, 2023",Day,No
M023,Singer,B2000,"October 01, 2023",Day,No
M024,Brother,J3000,"October 01, 2023",Day,No
M025,Brother,J3000,"October 01, 2023",Day,Yes
M026,Juki,J3000,"October 01, 2023",Day,No
M027,Singer,B2000,"October 01, 2023",Day,No
M028,Juki,S1000,"October 01, 2023",Day,No
M029,Juki,B2000,"October 01, 2023",Day,No
M030,Singer,B2000,"October 01, 2023",Day,Yes
M031,Brother,S1000,"October 01, 2023",Day,No
M032,Juki,B2000,"October 01, 2023",Day,No
M033,Singer,J3000,"October 01, 2023",Day,Yes
M034,Singer,J3000,"October 01, 2023",Day,Yes
M035,Singer,S1000,"October 01, 2023",Day,No
M036,Singer,J3000,"October 01, 2023",Day,No
M037,Singer,B2000,"October 01, 2023",Day,No
M038,Brother,B2000,"October 01, 2023",Day,No
M039,Brother,J3000,"October 01, 2023",Day,No
M040,Brother,B2000,"October 01, 2023",Day,No
M041,Brother,J3000,"October 01, 2023",Day,Yes
M042,Brother,S1000,"October 01, 2023",Day,No
M043,Singer,J3000,"October 01, 2023",Day,No
M044,Singer,J3000,"October 01, 2023",Day,No
M045,Juki,S1000,"October 01, 2023",Day,No
M046,Singer,J3000,"October 01, 2023",Day,No
M047,Brother,J3000,"October 01, 2023",Day,No
M048,Juki,B2000,"October 01, 2023",Day,No
M049,Brother,B2000,"October 01, 2023",Day,No
M050,Brother,B2000,"October 01, 2023",Day,No
M001,Juki,S1000,"October 01, 2023",Night,No
M002,Juki,J3000,"October 01, 2023",Night,No
M003,Singer,S1000,"October 01, 2023",Night,No
M004,Brother,J3000,"October 01, 2023",Night,No
M005,Singer,S1000,"October 01, 2023",Night,No
M006,Brother,B2000,"October 01, 2023",Night,No
M007,Singer,S1000,"October 01, 2023",Night,No
M008,Brother,S1000,"October 01, 2023",Night,Yes
M009,Juki,S1000,"October 01, 2023",Night,No
M010,Brother,S1000,"October 01, 2023",Night,No
M011,Singer,B2000,"October 01, 2023",Night,No
M012,Brother,S1000,"October 01, 2023",Night,No
M013,Singer,B2000,"October 01, 2023",Night,No
M014,Brother,S1000,"October 01, 2023",Night,No
M015,Singer,J3000,"October 01, 2023",Night,No
M016,Singer,J3000,"October 01, 2023",Night,Yes
M017,Singer,B2000,"October 01, 2023",Night,No
M018,Brother,B2000,"October 01, 2023",Night,No
M019,Singer,B2000,"October 01, 2023",Night,No
M020,Juki,S1000,"October 01, 2023",Night,No
M021,Juki,S1000,"October 01, 2023",Night,No
M022,Brother,S1000,"October 01, 2023",Night,Yes
M023,Singer,J3000,"October 01, 2023",Night,No
M024,Singer,J3000,"October 01, 2023",Night,No
M025,Brother,B2000,"October 01, 2023",Night,No
M026,Juki,B2000,"October 01, 2023",Night,No
M027,Singer,S1000,"October 01, 2023",Night,No
M028,Singer,S1000,"October 01, 2023",Night,Yes
M029,Juki,B2000,"October 01, 2023",Night,No
M030,Singer,S1000,"October 01, 2023",Night,Yes
M031,Brother,B2000,"October 01, 2023",Night,No
M032,Juki,S1000,"October 01, 2023",Night,Yes
M033,Brother,J3000,"October 01, 2023",Night,No
M034,Brother,B2000,"October 01, 2023",Night,Yes
M035,Singer,B2000,"October 01, 2023",Night,No
M036,Singer,S1000,"October 01, 2023",Night,No
M037,Singer,J3000,"October 01, 2023",Night,No
M038,Brother,J3000,"October 01, 2023",Night,No
M039,Juki,J3000,"October 01, 2023",Night,No
M040,Brother,B2000,"October 01, 2023",Night,No
M041,Brother,B2000,"October 01, 2023",Night,No
M042,Juki,B2000,"October 01, 2023",Night,No
M043,Singer,J3000,"October 01, 2023",Night,No
M044,Singer,B2000,"October 01, 2023",Night,No
M045,Singer,J3000,"October 01, 2023",Night,No
M046,Juki,B2000,"October 01, 2023",Night,Yes
M047,Brother,B2000,"October 01, 2023",Night,Yes
M048,Juki,B2000,"October 01, 2023",Night,No
M049,Juki,J3000,"October 01, 2023",Night,No
M050,Singer,J3000,"October 01, 2023",Night,No
M001,Brother,J3000,"October 02, 2023",Day,No
M002,Brother,S1000,"October 02, 2023",Day,Yes
M003,Juki,S1000,"October 02, 2023",Day,No
M004,Juki,J3000,"October 02, 2023",Day,Yes
M005,Juki,S1000,"October 02, 2023",Day,No
M006,Singer,S1000,"October 02, 2023",Day,Yes
M007,Singer,J3000,"October 02, 2023",Day,No
M008,Brother,J3000,"October 02, 2023",Day,Yes
M009,Juki,B2000,"October 02, 2023",Day,No
M010,Singer,B2000,"October 02, 2023",Day,No
M011,Brother,S1000,"October 02, 2023",Day,No
M012,Brother,S1000,"October 02, 2023",Day,No
M013,Juki,S1000,"October 02, 2023",Day,No
M014,Singer,B2000,"October 02, 2023",Day,Yes
M015,Singer,S1000,"October 02, 2023",Day,No
M016,Brother,J3000,"October 02, 2023",Day,Yes
M017,Singer,J3000,"October 02, 2023",Day,No
M018,Singer,J3000,"October 02, 2023",Day,Yes
M019,Juki,B2000,"October 02, 2023",Day,No
M020,Brother,S1000,"October 02, 2023",Day,No
M021,Juki,J3000,"October 02, 2023",Day,No
M022,Singer,J3000,"October 02, 2023",Day,No
M023,Singer,S1000,"October 02, 2023",Day,No
M024,Brother,J3000,"October 02, 2023",Day,No
M025,Singer,B2000,"October 02, 2023",Day,No
M026,Singer,S1000,"October 02, 2023",Day,No
M027,Juki,B2000,"October 02, 2023",Day,No
M028,Singer,J3000,"October 02, 2023",Day,Yes
M029,Singer,B2000,"October 02, 2023",Day,No
M030,Juki,B2000,"October 02, 2023",Day,No
M031,Singer,J3000,"October 02, 2023",Day,No
M032,Brother,J3000,"October 02, 2023",Day,Yes
M033,Singer,J3000,"October 02, 2023",Day,No
M034,Singer,B2000,"October 02, 2023",Day,No
M035,Juki,B2000,"October 02, 2023",Day,No
M036,Singer,B2000,"October 02, 2023",Day,No
M037,Brother,S1000,"October 02, 2023",Day,No
M038,Juki,S1000,"October 02, 2023",Day,No
M039,Singer,S1000,"October 02, 2023",Day,No
M040,Singer,J3000,"October 02, 2023",Day,No
M041,Singer,J3000,"October 02, 2023",Day,No
M042,Juki,J3000,"October 02, 2023",Day,No
M043,Brother,S1000,"October 02, 2023",Day,No
M044,Brother,J3000,"October 02, 2023",Day,No
M045,Singer,J3000,"October 02, 2023",Day,No
M046,Brother,J3000,"October 02, 2023",Day,No
M047,Singer,J3000,"October 02, 2023",Day,Yes
M048,Juki,S1000,"October 02, 2023",Day,No
M049,Brother,B2000,"October 02, 2023",Day,No
M050,Brother,B2000,"October 02, 2023",Day,No
M001,Brother,J3000,"October 02, 2023",Night,No
M002,Singer,B2000,"October 02, 2023",Night,No
M003,Brother,J3000,"October 02, 2023",Night,Yes
M004,Singer,S1000,"October 02, 2023",Night,No
M005,Juki,B2000,"October 02, 2023",Night,No
M006,Singer,B2000,"October 02, 2023",Night,No
M007,Brother,J3000,"October 02, 2023",Night,Yes
M008,Brother,J3000,"October 02, 2023",Night,No
M009,Singer,S1000,"October 02, 2023",Night,No
M010,Singer,S1000,"October 02, 2023",Night,Yes
M011,Singer,B2000,"October 02, 2023",Night,No
M012,Juki,B2000,"October 02, 2023",Night,No
M013,Singer,J3000,"October 02, 2023",Night,No
M014,Juki,J3000,"October 02, 2023",Night,No
M015,Singer,S1000,"October 02, 2023",Night,Yes
M016,Juki,B2000,"October 02, 2023",Night,No
M017,Juki,S1000,"October 02, 2023",Night,Yes
M018,Juki,B2000,"October 02, 2023",Night,No
M019,Juki,J3000,"October 02, 2023",Night,No
M020,Singer,J3000,"October 02, 2023",Night,No
M021,Singer,J3000,"October 02, 2023",Night,No
M022,Brother,S1000,"October 02, 2023",Night,Yes
M023,Brother,B2000,"October 02, 2023",Night,Yes
M024,Singer,B2000,"October 02, 2023",Night,No
M025,Singer,J3000,"October 02, 2023",Night,No
M026,Singer,J3000,"October 02, 2023",Night,No
M027,Brother,B2000,"October 02, 2023",Night,No
M028,Juki,S1000,"October 02, 2023",Night,No
M029,Juki,J3000,"October 02, 2023",Night,No
M030,Singer,S1000,"October 02, 2023",Night,Yes
