Date,Shift,DefectsCount
"October 01, 2023",Day,8
"October 01, 2023",Night,24
"October 02, 2023",Day,13
"October 02, 2023",Night,20
"October 03, 2023",Day,10
"October 03, 2023",Night,17
"October 04, 2023",Day,11
"October 04, 2023",Night,15
"October 05, 2023",Day,16
"October 05, 2023",Night,24
"October 06, 2023",Day,23
"October 06, 2023",Night,17
"October 07, 2023",Day,15
"October 07, 2023",Night,8
"October 08, 2023",Day,21
"October 08, 2023",Night,20
"October 09, 2023",Day,19
"October 09, 2023",Night,13
"October 10, 2023",Day,6
"October 10, 2023",Night,24
"October 11, 2023",Day,8
"October 11, 2023",Night,8
"October 12, 2023",Day,21
"October 12, 2023",Night,17
"October 13, 2023",Day,25
"October 13, 2023",Night,6
"October 14, 2023",Day,19
"October 14, 2023",Night,15
"October 15, 2023",Day,13
"October 15, 2023",Night,8
"October 16, 2023",Day,17
"October 16, 2023",Night,8
"October 17, 2023",Day,18
"October 17, 2023",Night,14
"October 18, 2023",Day,12
"October 18, 2023",Night,8
"October 19, 2023",Day,20
"October 19, 2023",Night,14
"October 20, 2023",Day,24
"October 20, 2023",Night,23
"October 21, 2023",Day,8
"October 21, 2023",Night,22
"October 22, 2023",Day,7
"October 22, 2023",Night,12
"October 23, 2023",Day,25
"October 23, 2023",Night,25
"October 24, 2023",Day,25
"October 24, 2023",Night,25
"October 25, 2023",Day,24
"October 25, 2023",Night,16
"October 26, 2023",Day,5
"October 26, 2023",Night,15
"October 27, 2023",Day,5
"October 27, 2023",Night,6
"October 28, 2023",Day,18
"October 28, 2023",Night,17
"October 29, 2023",Day,25
"October 29, 2023",Night,17
"October 30, 2023",Day,23
"October 30, 2023",Night,15
"October 31, 2023",Day,12
"October 31, 2023",Night,5
