Date,Shift,num_of_Brother,num_of_Juki,num_of_Singer
2023-10-01,Day,14,11,25
2023-10-01,Night,16,13,21
2023-10-02,Day,15,13,22
2023-10-02,Night,14,11,25
2023-10-03,Day,20,8,22
2023-10-03,Night,19,11,20
2023-10-04,Day,19,15,16
2023-10-04,Night,22,11,17
2023-10-05,Day,13,15,22
2023-10-05,Night,16,20,14
2023-10-06,Day,14,18,18
2023-10-06,Night,14,16,20
2023-10-07,Day,15,17,18
2023-10-07,Night,20,12,18
2023-10-08,Day,12,20,18
2023-10-08,Night,17,14,19
2023-10-09,Day,18,20,12
2023-10-09,Night,22,13,15
2023-10-10,Day,19,16,15
2023-10-10,Night,15,14,21
2023-10-11,Day,14,17,19
2023-10-11,Night,17,12,21
2023-10-12,Day,12,17,21
2023-10-12,Night,18,19,13
2023-10-13,Day,14,16,20
2023-10-13,Night,16,20,14
2023-10-14,Day,14,17,19
2023-10-14,Night,18,17,15
2023-10-15,Day,16,14,20
2023-10-15,Night,22,13,15
2023-10-16,Day,14,16,20
2023-10-16,Night,13,18,19
2023-10-17,Day,20,11,19
2023-10-17,Night,17,19,14
2023-10-18,Day,17,17,16
2023-10-18,Night,17,17,16
2023-10-19,Day,22,15,13
2023-10-19,Night,14,16,20
2023-10-20,Day,21,13,16
2023-10-20,Night,19,16,15
2023-10-21,Day,17,13,20
2023-10-21,Night,24,12,14
2023-10-22,Day,16,16,18
2023-10-22,Night,17,16,17
2023-10-23,Day,17,20,13
2023-10-23,Night,14,14,22
2023-10-24,Day,14,15,21
2023-10-24,Night,16,19,15
2023-10-25,Day,15,17,18
2023-10-25,Night,18,13,19
2023-10-26,Day,11,19,20
2023-10-26,Night,19,17,14
2023-10-27,Day,15,14,21
2023-10-27,Night,21,14,15
2023-10-28,Day,15,23,12
2023-10-28,Night,17,12,21
2023-10-29,Day,20,12,18
2023-10-29,Night,24,9,17
2023-10-30,Day,15,18,17
2023-10-30,Night,11,17,22
2023-10-31,Day,17,16,17
2023-10-31,Night,18,13,19
