Date,Shift,GarmentType,TargetUnits,EmployeeIDs,DefectsCount
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24
2023-10-02,Day,Jacket,450,"E037, E010, E010, E027, E039, E030, E030, E018, E010, E028",13
2023-10-02,Night,Jeans,683,"E015, E041, E024, E041, E035, E023, E028, E036, E006, E005",20
2023-10-03,Day,Jacket,654,"E013, E030, E028, E042, E012, E019, E037, E044, E001, E043",10
2023-10-03,Night,Dress,590,"E044, E039, E038, E027, E024, E028, E013, E006, E013, E038",17
2023-10-04,Day,Jacket,582,"E005, E008, E022, E031, E035, E019, E029, E011, E029, E039",11
2023-10-04,Night,T-Shirt,616,"E035, E043, E033, E013, E021, E011, E006, E038, E041, E050",15
2023-10-05,Day,Shirt,689,"E017, E040, E050, E043, E007, E044, E029, E027, E010, E014",16
2023-10-05,Night,Shirt,664,"E007, E012, E048, E047, E031, E008, E043, E038, E010, E027",24
2023-10-06,Day,T-Shirt,643,"E034, E047, E021, E047, E030, E036, E020, E030, E040, E044",23
2023-10-06,Night,Dress,443,"E005, E022, E030, E018, E007, E038, E002, E047, E050, E040",17
2023-10-07,Day,Jacket,394,"E013, E017, E045, E013, E017, E011, E046, E029, E002, E010",15
2023-10-07,Night,Dress,630,"E048, E008, E040, E050, E003, E035, E024, E044, E002, E036",8
2023-10-08,Day,Jacket,416,"E021, E017, E038, E020, E028, E031, E001, E020, E043, E027",21
2023-10-08,Night,T-Shirt,670,"E041, E001, E026, E008, E049, E009, E027, E041, E019, E014",20
2023-10-09,Day,Shirt,561,"E034, E031, E037, E012, E024, E012, E028, E038, E007, E013",19
2023-10-09,Night,Dress,429,"E028, E039, E022, E050, E017, E039, E006, E033, E040, E043",13
2023-10-10,Day,T-Shirt,316,"E049, E030, E004, E025, E011, E030, E013, E044, E012, E039",6
2023-10-10,Night,Shirt,513,"E017, E046, E046, E032, E023, E006, E037, E014, E015, E024",24
2023-10-11,Day,Shirt,485,"E021, E048, E050, E041, E008, E042, E047, E014, E017, E017",8
2023-10-11,Night,Shirt,557,"E029, E033, E049, E026, E021, E003, E048, E034, E040, E040",8
2023-10-12,Day,Shirt,469,"E011, E048, E033, E016, E010, E034, E039, E020, E004, E040",21
2023-10-12,Night,T-Shirt,523,"E008, E028, E026, E047, E045, E008, E036, E047, E020, E008",17
2023-10-13,Day,Jacket,672,"E013, E020, E034, E029, E001, E007, E021, E001, E040, E003",25
2023-10-13,Night,Jacket,677,"E034, E026, E013, E038, E041, E048, E018, E020, E043, E028",6
2023-10-14,Day,T-Shirt,514,"E026, E016, E026, E031, E044, E008, E040, E030, E013, E025",19
2023-10-14,Night,Jeans,578,"E038, E018, E038, E006, E034, E032, E012, E005, E022, E039",15
2023-10-15,Day,Dress,592,"E038, E043, E038, E050, E050, E014, E026, E018, E037, E016",13
2023-10-15,Night,Dress,307,"E001, E008, E006, E013, E039, E014, E023, E010, E035, E013",8
2023-10-16,Day,Jeans,553,"E027, E035, E005, E009, E033, E030, E041, E010, E006, E033",17
2023-10-16,Night,Shirt,562,"E036, E041, E006, E025, E032, E045, E027, E010, E007, E044",8
2023-10-17,Day,Shirt,473,"E005, E015, E045, E025, E020, E033, E024, E044, E016, E009",18
2023-10-17,Night,Shirt,333,"E031, E032, E026, E034, E024, E039, E034, E015, E008, E030",14
2023-10-18,Day,Shirt,522,"E012, E045, E046, E016, E030, E004, E045, E031, E017, E013",12
2023-10-18,Night,T-Shirt,596,"E048, E001, E011, E020, E030, E017, E003, E015, E004, E008",8
2023-10-19,Day,T-Shirt,616,"E005, E026, E018, E038, E024, E036, E007, E002, E039, E042",20
2023-10-19,Night,Dress,402,"E021, E001, E027, E001, E049, E013, E046, E048, E020, E033",14
2023-10-20,Day,Shirt,418,"E034, E050, E043, E007, E030, E040, E020, E032, E002, E007",24
2023-10-20,Night,Jacket,360,"E031, E041, E005, E003, E038, E014, E034, E011, E032, E023",23
2023-10-21,Day,Shirt,533,"E046, E009, E037, E002, E019, E012, E038, E029, E013, E039",8
2023-10-21,Night,Jeans,549,"E002, E002, E023, E027, E014, E039, E013, E049, E044, E005",22
2023-10-22,Day,T-Shirt,333,"E046, E022, E050, E010, E020, E004, E034, E041, E002, E049",7
2023-10-22,Night,Jacket,655,"E008, E031, E010, E032, E029, E029, E005, E032, E030, E008",12
2023-10-23,Day,Dress,567,"E034, E037, E010, E017, E033, E035, E014, E004, E026, E025",25
2023-10-23,Night,Jeans,542,"E013, E050, E026, E016, E024, E020, E044, E024, E048, E004",25
2023-10-24,Day,Dress,458,"E033, E028, E030, E014, E003, E047, E037, E045, E007, E005",25
2023-10-24,Night,Jacket,336,"E027, E025, E038, E038, E011, E016, E004, E003, E041, E041",25
2023-10-25,Day,Jeans,373,"E038, E017, E026, E028, E032, E008, E001, E042, E040, E001",24
2023-10-25,Night,T-Shirt,652,"E050, E019, E046, E027, E048, E019, E047, E024, E034, E004",16
2023-10-26,Day,Jacket,628,"E026, E037, E025, E042, E024, E044, E021, E044, E003, E023",5
2023-10-26,Night,Dress,525,"E029, E009, E032, E010, E037, E022, E019, E019, E001, E007",15
2023-10-27,Day,Jacket,673,"E050, E005, E008, E022, E025, E005, E023, E004, E024, E025",5
2023-10-27,Night,Jacket,690,"E024, E034, E039, E012, E026, E003, E045, E045, E008, E021",6
2023-10-28,Day,T-Shirt,535,"E014, E038, E018, E006, E014, E044, E042, E004, E009, E001",18
2023-10-28,Night,Jacket,341,"E015, E036, E031, E013, E031, E019, E010, E047, E043, E025",17
2023-10-29,Day,Shirt,501,"E024, E026, E028, E026, E018, E049, E010, E032, E006, E027",25
2023-10-29,Night,Shirt,626,"E005, E007, E050, E022, E033, E006, E028, E030, E010, E035",17
2023-10-30,Day,Dress,396,"E017, E026, E014, E039, E017, E037, E032, E014, E014, E044",23
2023-10-30,Night,Jacket,371,"E026, E043, E045, E024, E022, E035, E013, E017, E050, E011",15
2023-10-31,Day,T-Shirt,535,"E032, E034, E049, E031, E012, E008, E026, E044, E028, E043",12
2023-10-31,Night,Dress,301,"E042, E014, E029, E016, E015, E028, E031, E032, E002, E006",5
