Date,Shift,GarmentType,TargetUnits,EmployeeIDs,DefectsCount,MachineID,Make,Model,Assigned (Yes/No)
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M001,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M002,Juki,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M003,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M004,Singer,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M005,Brother,S1000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M006,Juki,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M007,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M008,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M009,Singer,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M010,Juki,J3000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M011,Brother,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M012,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M013,Singer,B2000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M014,Brother,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M015,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M016,Singer,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M017,Singer,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M018,Juki,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M019,Singer,J3000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M020,Singer,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M021,Singer,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M022,Juki,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M023,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M024,Brother,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M025,Brother,J3000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M026,Juki,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M027,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M028,Juki,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M029,Juki,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M030,Singer,B2000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M031,Brother,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M032,Juki,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M033,Singer,J3000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M034,Singer,J3000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M035,Singer,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M036,Singer,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M037,Singer,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M038,Brother,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M039,Brother,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M040,Brother,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M041,Brother,J3000,Yes
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M042,Brother,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M043,Singer,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M044,Singer,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M045,Juki,S1000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M046,Singer,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M047,Brother,J3000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M048,Juki,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M049,Brother,B2000,No
2023-10-01,Day,Jacket,409,"E027, E049, E043, E025, E011, E003, E023, E029, E018, E045",8,M050,Brother,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M001,Juki,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M002,Juki,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M003,Singer,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M004,Brother,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M005,Singer,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M006,Brother,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M007,Singer,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M008,Brother,S1000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M009,Juki,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M010,Brother,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M011,Singer,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M012,Brother,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M013,Singer,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M014,Brother,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M015,Singer,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M016,Singer,J3000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M017,Singer,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M018,Brother,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M019,Singer,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M020,Juki,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M021,Juki,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M022,Brother,S1000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M023,Singer,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M024,Singer,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M025,Brother,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M026,Juki,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M027,Singer,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M028,Singer,S1000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M029,Juki,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M030,Singer,S1000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M031,Brother,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M032,Juki,S1000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M033,Brother,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M034,Brother,B2000,Yes
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M035,Singer,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M036,Singer,S1000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M037,Singer,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M038,Brother,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M039,Juki,J3000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M040,Brother,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M041,Brother,B2000,No
2023-10-01,Night,Dress,635,"E026, E002, E004, E041, E032, E042, E024, E003, E016, E032",24,M042,Juki,B2000,No
